person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,room_type_Private room,room_type_Shared room,realSum
0.0,False,1.0,0.0,0.875,0.9125000000000001,0.125,0.0498437469092353,0.03524283457503244,0.7705885607366638,True,False,0.3087567368117331
0.0,False,0.0,1.0,0.875,0.875,0.125,0.23569426464193746,0.08198517727016015,0.4647651371372852,True,False,0.3364085286288315
0.5,False,0.0,0.0,0.875,0.9750000000000001,0.125,0.4069329141829136,0.25197416972347975,0.2918131619312947,False,False,0.2872468017004989
0.0,True,1.0,0.0,1.0,0.9125000000000001,0.125,0.2142813399859344,0.0882828131900482,0.6323327845285927,False,False,0.38060746741076124
0.0,False,0.0,1.0,1.0,0.9625000000000001,0.125,0.3389713495939323,0.25843346690478586,0.34348098204441957,True,False,0.2769390810492902
0.0,False,0.0,0.0,0.75,0.9000000000000001,0.125,0.2570391282318754,0.040942526318413996,0.5004280900794416,True,False,0.18339158825813184
0.0,False,1.0,0.0,0.0,0.5,0.0,0.3459931094778237,0.08197313044026301,0.3573694737335613,True,False,0.3172868642569945
0.0,False,1.0,0.0,0.75,1.0,0.125,0.5954183094171434,0.6604337426858068,0.17215215556065644,True,False,0.1798682119669005
0.0,False,0.0,0.0,1.0,1.0,0.125,0.18307700335884763,0.04123720883403,0.5067414825815693,False,True,0.24566777319209177
0.75,False,0.0,0.0,0.875,0.8625,0.25,0.14572525955641744,0.03781122060293046,0.5787079290984967,False,False,0.3787430524671008
0.25,True,0.0,1.0,1.0,1.0,0.125,0.19062950883780325,0.008807141785318013,0.5942473548385485,False,False,0.42717948514233617
0.5,False,0.0,1.0,0.75,0.8375000000000001,0.25,0.2197688903818182,0.016505096033139627,0.4518826618836651,False,False,0.41862095384408715
0.0,True,1.0,0.0,1.0,0.9625000000000001,0.125,0.21809655506480957,0.04829940183288944,0.509165614125177,True,False,0.30297015610439615
0.0,True,0.0,0.0,1.0,0.9625000000000001,0.125,0.28260319272277895,0.05456784826282923,0.4412102309484056,False,False,0.31320222383114726
1.0,False,0.0,1.0,1.0,0.9375,0.25,0.8404590182094016,0.560320755907568,0.06316436633038469,False,False,0.3623938017677343
0.5,False,0.0,1.0,1.0,0.75,0.25,0.0947458229875304,0.028081638397075052,0.7063274879030299,True,False,0.3884676236138268
0.0,True,1.0,0.0,1.0,0.9375,0.125,0.17100872655962573,0.026603391066623173,0.584190274585656,True,False,0.2397121763990986
0.75,False,0.0,1.0,1.0,1.0,0.25,0.24690616269432986,0.04192177109796162,0.5269555192840669,False,False,0.5481207123994752
0.0,False,0.0,1.0,0.875,0.8875,0.125,0.4632501031645337,0.1439691629123752,0.2971514348651101,True,False,0.1331678261903072
0.0,False,1.0,0.0,1.0,1.0,0.125,0.34950877992745855,0.023239117881886585,0.3700186350782786,True,False,0.2820908565425062
0.5,False,1.0,0.0,0.875,0.875,0.125,0.17346518827450338,0.0652247199458644,0.5379835429379698,False,False,0.3434063952363503
0.0,False,0.0,1.0,0.875,0.8625,0.125,0.13095242968417786,0.028808242396056824,0.6103790017761224,True,False,0.21546486728478287
0.5,False,0.0,0.0,1.0,1.0,0.25,0.26209594442183576,0.03739340832445467,0.450372176188784,False,False,0.46309407772365796
0.0,False,1.0,0.0,0.875,0.9000000000000001,0.125,0.07394542554858478,0.018887317487808468,0.7774993610032941,True,False,0.256122545949362
0.0,False,0.0,1.0,0.875,0.7250000000000001,0.125,0.11835018191646632,0.04212362145843658,0.6470470691150814,True,False,0.22335041887289453
0.0,False,0.0,1.0,1.0,0.925,0.125,0.08737607542526943,0.03390655933002243,0.7053134539871957,False,False,0.4869886112962979
0.0,False,0.0,1.0,0.75,0.75,0.0,0.1840931370722533,0.025225324431112174,0.5459549266368744,False,False,0.3466441438462381
0.0,True,0.0,0.0,1.0,0.9750000000000001,0.125,0.5047119711085922,0.06009452835865945,0.20564632384714931,True,False,0.1682743413758333
0.5,False,0.0,1.0,0.75,1.0,0.0,0.21848421303013005,0.045110460553037045,0.5074759760538299,False,False,0.39280761084183624
0.5,False,1.0,0.0,0.875,0.8125,0.125,0.20948136758594119,0.024036325280413728,0.5944728150075596,False,False,0.3424234377347789
0.0,False,0.0,0.0,1.0,0.9500000000000002,0.125,0.47946512341931824,0.08093849007618843,0.29122843521412056,True,False,0.20365748341934764
0.5,False,0.0,1.0,1.0,1.0,0.25,0.2758023049424643,0.13481348030126394,0.4002220605625302,False,False,0.48562556440485916
0.0,True,1.0,0.0,1.0,0.9875,0.125,0.49056990359583025,0.5173568126398809,0.2340565237437482,True,False,0.1514272581382603
0.75,True,1.0,0.0,1.0,0.9750000000000001,0.25,0.02141337274310691,0.027657292818721847,0.9173771062206533,False,False,0.5190646832288562
0.0,False,0.0,0.0,0.875,0.8875,0.125,0.4971475216597567,0.12099705462164106,0.21827156061836295,True,False,0.1552418311750694
0.75,False,0.0,1.0,0.875,0.825,0.125,0.3449730020889704,0.0403898418327283,0.3327168343742277,False,False,0.3268661841772992
1.0,False,0.0,1.0,0.875,0.8125,0.375,0.2200541046951437,0.062290132094413975,0.5177752153913926,False,False,0.473962081765806
0.0,False,0.0,1.0,0.875,0.9000000000000001,0.125,0.2563777547443519,0.0319596745104488,0.42230907695931275,True,False,0.1857905033904771
0.0,False,1.0,0.0,1.0,0.9875,0.125,0.7814735841465569,0.48114804256204236,0.09149151166546776,True,False,0.24088057908739002
0.75,False,0.0,1.0,0.5,0.5875,0.125,0.47621704435957146,0.10209637268669017,0.28906990988306114,True,False,0.20861485165257365
0.25,False,0.0,1.0,0.875,0.9125000000000001,0.125,0.24032789661845363,0.028866951788561822,0.5438142359716991,False,False,0.28316469095842334
0.0,True,0.0,0.0,1.0,0.9625000000000001,0.125,0.22599273327205202,0.03095615040929339,0.5035330830762523,True,False,0.2775715632042868
0.0,True,1.0,0.0,0.875,0.9750000000000001,0.125,0.726996119048321,0.8135686679587129,0.10344829927576571,True,False,0.1745894558725003
0.5,False,0.0,1.0,0.875,0.9000000000000001,0.25,0.3726634268511235,0.04464098841077801,0.31054236029311566,False,False,0.39680230618115464
1.0,False,0.0,1.0,1.0,0.875,0.375,0.4209688005217705,0.19838037002013842,0.2641234966834638,False,False,0.39550777782053437
0.0,False,1.0,0.0,0.875,0.9375,0.125,0.3414353979076032,0.13674683011940317,0.3272401526867419,True,False,0.19607663641723527
0.0,False,0.0,1.0,0.75,0.7750000000000001,0.125,0.179847442635103,0.05405004097538966,0.5225577078203036,True,False,0.1839274901469682
0.5,False,0.0,1.0,0.875,0.9000000000000001,0.25,0.23994635093385083,0.03961238465892924,0.566425461779622,False,False,0.4909686244013677
0.75,False,0.0,0.0,1.0,0.9750000000000001,0.25,0.5686198491128737,0.5152054443912437,0.16728917698580004,False,False,0.3573312373967369
0.0,False,1.0,0.0,1.0,1.0,0.125,0.5104125755428904,0.08112853597911077,0.266306538414669,True,False,0.14320669321579982
