person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,day,room_type_Private room,room_type_Shared room,realSum
0.0,False,1.0,0.0,0.875,0.8375000000000001,0.125,0.8414748344914692,0.5936469524025058,0.0630962093908813,0.0,True,False,0.1120110413064571
0.0,False,0.0,0.0,1.0,0.9375,0.125,0.0691871130395393,0.0091506019655138,0.7777736338839656,0.0,False,False,0.3645338389158888
0.0,False,0.0,0.0,0.875,0.9125,0.125,0.3342261978758349,0.1045408008894141,0.3644277735737418,0.0,True,False,0.1549270633956476
0.0,False,0.0,1.0,0.875,0.7625,0.125,0.2258607492883006,0.0598591862915083,0.5379427711262303,1.0,True,False,0.1605091844202135
0.25,False,1.0,0.0,0.875,0.925,0.125,0.3475932098356318,0.2729650755322784,0.3467791600727909,0.0,True,False,0.2201072495311792
0.25,False,0.0,0.0,1.0,1.0,0.25,0.3273400865560252,0.0114710982348542,0.3864219875254806,1.0,True,False,0.3871957219118992
1.0,False,1.0,0.0,0.875,0.9125,0.25,0.2378099743342235,0.0810605989709504,0.4666988311873481,1.0,False,False,0.4334527233291044
1.0,True,1.0,0.0,0.875,0.9500000000000002,0.375,0.4219906563955771,0.0366078798689801,0.2904408980421467,1.0,False,False,0.3923122263712911
0.0,False,1.0,0.0,1.0,1.0,0.125,0.5104125755428904,0.0811285359791107,0.266306538414669,1.0,True,False,0.1432066932157998
0.0,False,0.0,1.0,0.875,0.875,0.125,0.2346909011609931,0.0470380475021038,0.5401983346616925,1.0,True,False,0.2248438492359756
0.0,True,0.0,0.0,1.0,0.9375,0.125,0.4635205930439468,0.1355900789792258,0.2326715917864927,0.0,True,False,0.2252682452146565
0.5,True,1.0,0.0,0.875,0.9000000000000001,0.25,0.3118287578212365,0.0161849300587563,0.402723504409211,1.0,False,False,0.3742234979571576
0.0,False,0.0,0.0,1.0,0.975,0.125,0.285554244074529,0.0719237091466137,0.4056959002905265,0.0,True,False,0.2365582936533661
0.0,False,0.0,1.0,0.5,0.75,0.125,0.2680485542601033,0.0428478758362265,0.4550728282445209,1.0,False,False,0.3476040597321882
0.0,False,0.0,1.0,1.0,0.925,0.1666666666666666,0.4738752399683972,0.2100423082116661,0.1914733686930996,0.0,True,False,0.2114400734862546
0.25,False,0.0,1.0,0.875,0.825,0.1666666666666666,0.0603557896478854,0.0889005281847974,0.5468036776198628,0.0,True,False,0.3716483933934492
0.0,False,0.0,0.0,1.0,0.925,0.0,0.0412787582002255,0.0669423319801308,0.6204424303705978,0.0,True,False,0.3207014719033035
0.75,False,0.0,0.0,1.0,0.9125,0.25,0.5340871637271174,0.0140008214547595,0.3144452443817362,0.0,False,False,0.3860003317788222
1.0,False,0.0,0.0,1.0,0.9375,0.375,0.5235052183150928,0.1030008888145154,0.1968546841963629,1.0,False,False,0.4613096569994547
0.0,False,0.0,1.0,0.625,0.4125000000000001,0.1666666666666666,0.1186172308929579,0.0654560323350573,0.5759302707253411,1.0,False,False,0.3419012671988862
0.0,True,0.0,0.0,1.0,1.0,0.125,0.2944801725420959,0.0642111764206053,0.3942266494640598,0.0,False,False,0.2770974130574285
1.0,False,0.0,1.0,0.875,0.8500000000000001,0.25,0.3235960802721843,0.0345619122968679,0.3985297523123592,0.0,False,False,0.4320042720012292
0.0,False,0.0,0.0,0.875,0.875,0.125,0.2140881135385914,0.0799991927768965,0.4700594629936576,1.0,True,False,0.3878752038029914
0.0,False,0.0,0.0,1.0,0.9625,0.125,0.2780325280284258,0.2027271447760543,0.4080115568749403,0.0,True,False,0.2106977631150929
0.0,False,0.0,0.0,0.0,0.5,0.1666666666666666,0.0334374315672422,0.084855159998658,0.6037777933759694,0.0,True,False,0.1451149770402254
0.5,False,0.0,0.0,0.875,0.8875,0.25,0.4475001709364545,0.0693486886449934,0.2566430199648479,0.0,False,False,0.4154562806390919
1.0,False,1.0,0.0,0.875,1.0,0.5,0.4965524674669502,0.1155170649735011,0.2096360186839314,0.0,False,False,0.4958328369828987
0.0,False,0.0,1.0,1.0,0.9625,0.125,0.3389713495939323,0.2584334669047858,0.3434809820444195,1.0,True,False,0.2769390810492902
0.0,False,0.0,0.0,1.0,0.975,0.125,0.2261652318893868,0.0926856859721963,0.5255822425078007,0.0,True,False,0.1806875302440256
0.0,False,0.0,1.0,0.875,0.8375000000000001,0.0,0.2623066380491594,0.0476734080019263,0.4919180226948432,0.0,False,False,0.3546936481453137
0.25,False,0.0,1.0,1.0,0.75,0.125,0.1634576437659232,0.0555648513066112,0.5512173259497894,0.0,True,False,0.304604088647333
1.0,False,0.0,1.0,1.0,0.9375,0.375,0.2748801757643924,0.042753466570116,0.4799509518662013,0.0,False,False,0.5154253778301449
0.0,False,0.0,0.0,0.875,0.9125,0.0,0.3260379009457774,0.0210381238834808,0.3571665973678215,1.0,False,False,0.2357609858994052
0.0,False,0.0,0.0,1.0,1.0,0.1666666666666666,0.2219937672287165,0.1186485271775122,0.5332008548994156,0.0,True,False,0.1597483545208627
0.0,False,0.0,1.0,0.875,0.875,0.125,0.2368629782292637,0.1414630961587814,0.4813594145768236,1.0,True,False,0.2113866689982885
0.0,False,0.0,1.0,0.875,0.825,0.125,0.5476613762587819,0.0353223220457981,0.1754637588421923,1.0,True,False,0.2391250773843144
0.5,False,0.0,1.0,0.75,0.7875000000000001,0.125,0.2223146963909532,0.0281732057582954,0.5660597595105394,0.0,False,False,0.3300651810942702
0.0,False,0.0,1.0,1.0,0.8625,0.125,0.242232765524069,0.050520150840283,0.5691226288099833,0.0,True,False,0.4056088458243659
0.0,False,1.0,0.0,1.0,0.7875000000000001,0.1666666666666666,0.1645477963390712,0.0190437170146099,0.4203070336946117,0.0,True,False,0.1678793655368896
0.0,False,0.0,0.0,0.875,0.9500000000000002,0.1666666666666666,0.300794465805907,0.0925327779856104,0.2948865362458996,0.0,True,False,0.2370982078455553
0.25,False,0.0,1.0,1.0,1.0,0.25,0.4909612290883653,0.371739922493747,0.2138404698076874,0.0,True,False,0.3543867726813287
0.0,True,0.0,0.0,1.0,0.9625,0.125,0.0594766676987421,0.0357233881488194,0.8383888984364516,1.0,False,False,0.3460013029308767
0.0,False,0.0,1.0,0.75,0.825,0.125,0.3022813414456046,0.0669794224493083,0.4338695931887928,1.0,True,False,0.2648121917777701
0.0,False,1.0,0.0,0.875,0.7875000000000001,0.125,0.7696199774315089,0.4521480010261337,0.1017132784572043,1.0,False,False,0.2116157112398308
0.5,False,1.0,0.0,1.0,0.9375,0.125,0.0823645865877519,0.0423532690956321,0.6871970775837077,0.0,False,False,0.380253847726251
0.0,True,1.0,0.0,1.0,0.975,0.125,0.4325626624183551,0.181593247273746,0.2491993137551889,0.0,True,False,0.1688578201847206
0.75,False,1.0,0.0,0.875,0.8125,0.125,0.2696623143089183,0.0322334037546415,0.4693517830199292,1.0,False,False,0.3877904107176021
0.0,False,1.0,0.0,1.0,1.0,0.0,0.3320736698094743,0.0499153981122763,0.4089207420681477,1.0,True,False,0.1983110888008349
0.0,False,0.0,1.0,0.625,0.75,0.1666666666666666,0.0329980697327455,0.0443315823560275,0.508422870797018,1.0,True,False,0.1944573559628856
0.0,False,1.0,0.0,1.0,0.9500000000000002,0.125,0.3123683838646168,0.0782214052101019,0.3903427046932028,1.0,True,False,0.2615600528373658
0.5,False,0.0,1.0,0.875,0.8500000000000001,0.0,0.0363673421671221,0.0255033262304997,0.8173952942475569,0.0,False,False,0.4329273806938444
0.75,True,1.0,0.0,1.0,0.9875,0.375,0.5690052389062044,0.1902561563269827,0.2340398909543926,0.0,False,False,0.4139257379448672
0.0,False,1.0,0.0,0.875,0.8625,0.1666666666666666,0.4176888167252093,0.1253116992089683,0.2851081472810535,1.0,True,False,0.109501165307445
0.0,False,0.0,1.0,0.75,0.75,0.125,0.239605640509796,0.0476008702324769,0.5299054421891303,1.0,True,False,0.1425322971679605
0.0,False,0.0,0.0,1.0,1.0,0.125,0.2738382613434441,0.2119774666785147,0.4152821774351798,1.0,True,False,0.2416552619841342
1.0,False,0.0,1.0,0.875,1.0,0.3333333333333333,0.1892330484938817,0.0740764770324468,0.6864452299772736,1.0,False,False,0.37475916771974
0.0,False,1.0,0.0,0.875,0.875,0.125,0.3844485354848924,0.0313731835998633,0.3290362147037982,0.0,True,False,0.321526182057874
0.0,True,0.0,1.0,1.0,1.0,0.1666666666666666,0.0544827752613986,0.0681325395162727,0.6004736791264371,1.0,True,False,0.4731242021091805
0.0,False,1.0,0.0,0.875,0.6875,0.125,0.2483949445630302,0.0435232787595264,0.5288778748076777,0.0,False,False,0.3755914917338784
0.0,False,0.0,1.0,1.0,0.9875,0.1666666666666666,0.0082246712844675,0.0426537696979293,0.5381368550667553,1.0,False,False,0.3812257049397215
0.0,False,0.0,0.0,1.0,0.975,0.125,0.3660528451148514,0.1209825846636443,0.3356998706592844,1.0,True,False,0.1871093529099446
0.5,False,0.0,1.0,0.625,0.5,0.1666666666666666,0.1239781891905209,0.0393658960017825,0.5477791423736862,0.0,True,False,0.4795832039115432
0.0,True,0.0,0.0,1.0,0.9875,0.125,0.4120062272165872,0.0775255272351148,0.3018823651390803,1.0,True,False,0.2458566005878368
0.0,False,1.0,0.0,1.0,1.0,0.1666666666666666,0.3289087371645562,0.1667270109894582,0.3479786590778817,1.0,True,False,0.2086999458571831
