person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,day,room_type_Private room,room_type_Shared room,realSum
0.0,False,1.0,0.0,0.875,0.9000000000000001,0.125,0.2459728848916383,0.1067183196783329,0.4821224439758504,0.0,True,False,0.2231360419457484
1.0,False,0.0,1.0,0.75,0.7875000000000001,0.3333333333333333,0.3071375077373395,0.172701090221971,0.4044543765864099,1.0,False,False,0.4933772133787942
0.0,False,0.0,0.0,0.875,0.9000000000000001,0.1666666666666666,0.5175088743715577,0.0954749571714066,0.216754461923543,0.0,True,False,0.1413916709604651
0.0,False,0.0,0.0,1.0,0.9875,0.125,0.1339254698334233,0.0406769875857348,0.6200010844684138,1.0,True,False,0.283011683321037
0.0,False,1.0,0.0,1.0,0.9000000000000001,0.1666666666666666,0.3305534209555739,0.1545683573653415,0.339226843307306,1.0,True,False,0.1631732200022738
0.0,False,0.0,1.0,0.875,0.9125,0.125,0.2047841910673241,0.0999140339625714,0.4831763219812806,0.0,True,False,0.2170258616354151
0.0,True,0.0,0.0,1.0,0.9500000000000002,0.125,0.4353889977014702,0.2576310720833579,0.2484868508664424,1.0,True,False,0.1120110413064571
0.0,False,0.0,0.0,1.0,1.0,0.125,0.4162387886851578,0.0445025852423847,0.2998137726695991,0.0,True,False,0.1589761268968252
0.0,False,0.0,0.0,1.0,0.975,0.0,0.3587661181844351,0.0522890047558539,0.3543851740837247,0.0,False,False,0.3059542996937577
0.0,False,0.0,0.0,1.0,1.0,0.125,0.2322078478500487,0.1204928636944076,0.4545728763085779,0.0,True,False,0.2269557514133084
0.0,True,0.0,0.0,1.0,0.975,0.125,0.3905695142441511,0.1360898030777326,0.2910472396888641,0.0,True,False,0.2235645371255457
0.0,False,0.0,1.0,0.75,0.825,0.125,0.2913118449205696,0.053078200577154,0.4589508940145135,0.0,True,False,0.2041356256633543
0.25,True,0.0,1.0,1.0,0.9625,0.125,0.5686662860283467,0.570910488616748,0.1733069974712646,0.0,True,False,0.1442135058431173
0.5,False,0.0,1.0,0.75,0.7875000000000001,0.125,0.3964578544296483,0.0293089482816748,0.320611354923392,1.0,False,False,0.3172868642569945
1.0,False,0.0,1.0,1.0,1.0,0.375,0.185592371127673,0.0187198398174318,0.5547483595740745,0.0,False,False,0.4628720039749162
0.25,False,1.0,0.0,1.0,0.925,0.1666666666666666,0.5519069028745106,0.1687299897086374,0.1663477005351876,0.0,True,False,0.2045240485274159
0.5,False,0.0,0.0,0.875,0.8875,0.125,0.2607799464011475,0.0226753428888553,0.4563587113577272,1.0,True,False,0.1841948354016394
0.0,False,1.0,0.0,1.0,0.9625,0.125,0.4216158221381806,0.0569837858921166,0.3299445206631608,0.0,True,False,0.256122545949362
0.0,False,0.0,1.0,1.0,0.5,0.125,0.6524817006954413,0.2604421366964636,0.1650988471216721,0.0,False,False,0.3133313023179663
